Index,Start Time (s),End Time (s),Device,Input Type
464,44.1495928764,44.2291798592,cpu,image
465,44.2291798592,44.2928268909,cpu,image
466,44.308784008,44.3717443943,cpu,image
467,44.3717443943,44.547008276,cpu,image
468,44.547008276,44.6140286922,cpu,image
469,44.6140286922,44.6895811558,cpu,image
470,44.691770792,44.7529342175,cpu,image
471,44.7529342175,44.8334772587,cpu,image
472,44.8334772587,44.8953373432,cpu,image
473,44.8953373432,44.964861393,cpu,image
474,44.964861393,45.0377907753,cpu,image
475,45.0377907753,45.1011106968,cpu,image
476,45.1011106968,45.1645243168,cpu,image
477,45.1803174019,45.2452106476,cpu,image
478,45.2452106476,45.3106541634,cpu,image
479,45.3106541634,45.3915448189,cpu,image
480,45.3915448189,45.4674100876,cpu,image
481,45.4684402943,45.5442881584,cpu,image
482,45.5442881584,45.6239016056,cpu,image
483,45.6239016056,45.7038455009,cpu,image
484,45.7038455009,45.7828888893,cpu,image
485,45.7828888893,45.8494334221,cpu,image
486,45.8494334221,45.9101867676,cpu,image
487,45.9101867676,45.9896960258,cpu,image
488,45.9896960258,46.0545814037,cpu,image
489,46.0545814037,46.1308350563,cpu,image
490,46.1308350563,46.1936426163,cpu,image
491,46.1936426163,46.272840023,cpu,image
492,46.272840023,46.3368904591,cpu,image
493,46.3368904591,46.4644141197,cpu,image
494,46.4644141197,46.6079466343,cpu,image
495,46.6079466343,46.6754250526,cpu,image
496,46.6874802113,46.7512993813,cpu,image
497,46.7512993813,46.8154599667,cpu,image
498,46.8154599667,46.8985011578,cpu,image
499,46.8985011578,46.9584395885,cpu,image
500,46.9584395885,47.0395300388,cpu,image
501,47.0395300388,47.1008262634,cpu,image
502,47.1008262634,47.1647100449,cpu,image
503,47.1647100449,47.2536590099,cpu,image
504,47.2536590099,47.3231329918,cpu,image
505,47.3231329918,47.3864037991,cpu,image
506,47.3864037991,47.4682238102,cpu,image
507,47.4682238102,47.5450918674,cpu,image
508,47.5450918674,47.6246771812,cpu,image
509,47.6246771812,47.6880619526,cpu,image
510,47.6880619526,47.7516241074,cpu,image
511,47.7516241074,47.8303847313,cpu,image
512,47.8303847313,47.9013442993,cpu,image
513,47.9013442993,47.9724299908,cpu,image
514,47.9724299908,48.0363171101,cpu,image
515,48.0363171101,48.1003129482,cpu,image
516,48.1003129482,48.1796991825,cpu,image
517,48.1796991825,48.2447681427,cpu,image
518,48.2447681427,48.3261282444,cpu,image
519,48.3261282444,48.3879981041,cpu,image
520,48.3879981041,48.4632906914,cpu,image
521,48.4632906914,48.5454976559,cpu,image
522,48.5454976559,48.6067733765,cpu,image
523,48.6067733765,48.6859536171,cpu,image
524,48.6859536171,48.7641613483,cpu,image
525,48.7641613483,48.8278915882,cpu,image
526,48.8278915882,48.8952329159,cpu,image
527,48.8952329159,48.9703655243,cpu,image
528,48.9703655243,49.0341165066,cpu,image
529,49.0341165066,49.0997488499,cpu,image
530,49.0997488499,49.2253270149,cpu,image
531,49.2253270149,49.3231515884,cpu,image
532,49.3231515884,49.384190321,cpu,image
533,49.384190321,49.4680395126,cpu,image
534,49.4680395126,49.5267622471,cpu,image
535,49.5425748825,49.6062083244,cpu,image
536,49.6062083244,49.670031786,cpu,image
537,49.670031786,49.7496576309,cpu,image
538,49.7496576309,49.8132507801,cpu,image
539,49.8132507801,49.8980462551,cpu,image
540,49.8980462551,49.9762475491,cpu,image
541,49.9762475491,50.0531189442,cpu,image
542,50.0531189442,50.1318776608,cpu,image
543,50.1318776608,50.2110924721,cpu,image
544,50.2110924721,50.2947762012,cpu,image
545,50.2952988148,50.3619775772,cpu,image
546,50.3619775772,50.4329645634,cpu,image
547,50.4329645634,50.5170140266,cpu,image
548,50.5170140266,50.5801920891,cpu,image
549,50.5801920891,50.6550478935,cpu,image
550,50.6550478935,50.7185614109,cpu,image
551,50.7185614109,50.782545805,cpu,image
552,50.782545805,50.8618490696,cpu,image
553,50.8618490696,50.9256415367,cpu,image
554,50.9256415367,50.989928484,cpu,image
555,51.005641222,51.0688486099,cpu,image
556,51.0688486099,51.1421949863,cpu,image
557,51.1421949863,51.2111773491,cpu,image
558,51.2111773491,51.2748482227,cpu,image
559,51.2748482227,51.353976965,cpu,image
560,51.353976965,51.4221305847,cpu,image
561,51.4221305847,51.4818775654,cpu,image
562,51.4818775654,51.56107831,cpu,image
563,51.56107831,51.6441457272,cpu,image
564,51.6441457272,51.7043976784,cpu,image
565,51.7043976784,51.7833509445,cpu,image
566,51.7833509445,51.8473193645,cpu,image
567,51.8473193645,51.927159071,cpu,image
568,51.927159071,51.9905204773,cpu,image
569,51.9905204773,52.0699579716,cpu,image
570,52.0699579716,52.1331517696,cpu,image
571,52.1331517696,52.2092432976,cpu,image
572,52.2092432976,52.2817645073,cpu,image
573,56.2330465317,56.2990932465,cpu,image
574,56.2990932465,56.3759932518,cpu,image
575,56.3759932518,56.4397816658,cpu,image
576,56.4397816658,56.5186953545,cpu,image
577,56.5186953545,56.5978825092,cpu,image
578,56.5978825092,56.6713774204,cpu,image
579,56.6713774204,56.7400209904,cpu,image
580,56.7400209904,56.8036754131,cpu,image
581,56.8036754131,56.8828365803,cpu,image
582,56.8828365803,56.9517917633,cpu,image
583,56.9517917633,57.0252313614,cpu,image
584,57.0252313614,57.0905089378,cpu,image
585,57.0905089378,57.1524710655,cpu,image
586,57.1524710655,57.2319216728,cpu,image
587,57.2319216728,57.2955212593,cpu,image
588,57.2955212593,57.3774700165,cpu,image
589,57.3774700165,57.4543766975,cpu,image
590,57.4543766975,57.5179891586,cpu,image
591,57.5179891586,57.5976581573,cpu,image
592,57.5976581573,57.677973032,cpu,image
593,57.677973032,57.7423331738,cpu,image
594,57.7423331738,57.8192138672,cpu,image
595,57.8192138672,57.8831255436,cpu,image
596,57.8831255436,57.9624910355,cpu,image
597,57.9624910355,58.0259459019,cpu,image
598,58.0259459019,58.0898222923,cpu,image
599,58.0898222923,58.1697967052,cpu,image
600,58.1697967052,58.2337248325,cpu,image
601,58.2337248325,58.313498497,cpu,image
602,58.313498497,58.3933458328,cpu,image
603,58.3933458328,58.4573824406,cpu,image
604,58.4573824406,58.543484211,cpu,image
605,58.543484211,58.608230114,cpu,image
606,58.608230114,58.6809103489,cpu,image
607,58.6809103489,58.7435224056,cpu,image
608,58.7435224056,58.8230941296,cpu,image
609,58.8230941296,58.9021298885,cpu,image
610,58.9021298885,58.969776392,cpu,image
611,58.969776392,59.0448763371,cpu,image
612,59.0448763371,59.1084640026,cpu,image
613,59.1084640026,59.1904091835,cpu,image
614,59.1904091835,59.2512216568,cpu,image
615,59.2512216568,59.3135097027,cpu,image
616,59.3135097027,59.3968799114,cpu,image
617,59.3968799114,59.4561946392,cpu,image
618,59.4561946392,59.5684072971,cpu,image
619,59.5689284801,59.6308248043,cpu,image
620,59.6308248043,59.7101688385,cpu,image
621,59.7101688385,59.7734260559,cpu,image
622,59.7734260559,59.8526556492,cpu,image
623,59.8526556492,59.9327454567,cpu,image
624,59.9327454567,59.9957199097,cpu,image
625,59.9957199097,60.0595405102,cpu,image
626,60.0595405102,60.1389172077,cpu,image
627,60.1389172077,60.2025003433,cpu,image
628,60.2025003433,60.2818052769,cpu,image
629,60.2818052769,60.3611834049,cpu,image
630,60.3611834049,60.4262320995,cpu,image
631,60.4262320995,60.5033519268,cpu,image
632,60.5033519268,60.5715897083,cpu,image
633,60.5715897083,60.6458082199,cpu,image
634,60.6458082199,60.7087905407,cpu,image
635,60.7087905407,60.7877223492,cpu,image
636,60.7877223492,60.8513858318,cpu,image
